date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:05:36	12335/12335	---M-Z	200	added ('OK')	text/html	etag:W/%226420e6cb-302f%22	https://prtapplustco.github.io/index.html	/home/alejandro/websites/prt2023/prtapplustco.github.io/index.html	(from )
22:05:37	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22648c837f-24a3%22	https://prtapplustco.github.io/robots.txt		(from )
22:05:37	49595/49595	---M-Z	200	added ('OK')	text/css	etag:W/%2228feccc0-c1bb%22	http://code.jquery.com/mobile/1.0rc2/jquery.mobile-1.0rc2.min.css	/home/alejandro/websites/prt2023/code.jquery.com/mobile/1.0rc2/jquery.mobile-1.0rc2.min.css	(from https://prtapplustco.github.io/index.html)
22:05:39	1625/1625	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Jul%202023%2002:05:39%20GMT	https://www.gstatic.com/recaptcha/releases/Trd6gj1dhC_fx0ma_AWHc1me/recaptcha__es_419.js	/home/alejandro/websites/prt2023/www.gstatic.com/recaptcha/releases/Trd6gj1dhC_fx0ma_AWHc1me/recaptcha__es_419.2.delayed	(from https://prtapplustco.github.io/index.html)
22:05:41	91669/91669	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-16615%22	http://code.jquery.com/jquery-1.6.4.min.js	/home/alejandro/websites/prt2023/code.jquery.com/jquery-1.6.4.min.js	(from https://prtapplustco.github.io/index.html)
22:05:41	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22648c837f-24a3%22	https://prtapplustco.github.io/Scripts/prts.min.js	/home/alejandro/websites/prt2023/prtapplustco.github.io/Scripts/prts.min.js	(from https://prtapplustco.github.io/index.html)
22:05:43	79810/79810	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-137c2%22	http://code.jquery.com/mobile/1.0rc2/jquery.mobile-1.0rc2.min.js	/home/alejandro/websites/prt2023/code.jquery.com/mobile/1.0rc2/jquery.mobile-1.0rc2.min.js	(from https://prtapplustco.github.io/index.html)
22:05:43	2200/2200	---M--	200	added ('OK')	image/png	etag:%2262f659d6-898%22	http://code.jquery.com/mobile/1.0rc2/images/icons-18-white.png	/home/alejandro/websites/prt2023/code.jquery.com/mobile/1.0rc2/images/icons-18-white.png	(from http://code.jquery.com/mobile/1.0rc2/jquery.mobile-1.0rc2.min.css)
22:05:43	910/910	---MC-	200	added ('OK')	text/javascript	date:Fri,%2007%20Jul%202023%2002:05:42%20GMT	https://www.google.com/recaptcha/api.js?onload=renderRecaptcha&render=explicit	/home/alejandro/websites/prt2023/www.google.com/recaptcha/api8c9b.js	(from https://prtapplustco.github.io/index.html)
22:05:44	2064/2064	---M--	200	added ('OK')	image/png	etag:%2228feccc0-810%22	http://code.jquery.com/mobile/1.0rc2/images/icons-18-black.png	/home/alejandro/websites/prt2023/code.jquery.com/mobile/1.0rc2/images/icons-18-black.png	(from http://code.jquery.com/mobile/1.0rc2/jquery.mobile-1.0rc2.min.css)
22:05:45	4020/4020	---M--	200	added ('OK')	image/png	etag:%2262f659d6-fb4%22	http://code.jquery.com/mobile/1.0rc2/images/icons-36-white.png	/home/alejandro/websites/prt2023/code.jquery.com/mobile/1.0rc2/images/icons-36-white.png	(from http://code.jquery.com/mobile/1.0rc2/jquery.mobile-1.0rc2.min.css)
22:05:46	3403/3403	---M--	200	added ('OK')	image/png	etag:%2228feccc0-d4b%22	http://code.jquery.com/mobile/1.0rc2/images/icons-36-black.png	/home/alejandro/websites/prt2023/code.jquery.com/mobile/1.0rc2/images/icons-36-black.png	(from http://code.jquery.com/mobile/1.0rc2/jquery.mobile-1.0rc2.min.css)
22:05:47	503/503	---M--	200	added ('OK')	image/png	etag:%22611feac9-1f7%22	http://code.jquery.com/mobile/1.0rc2/images/ajax-loader.png	/home/alejandro/websites/prt2023/code.jquery.com/mobile/1.0rc2/images/ajax-loader.png	(from http://code.jquery.com/mobile/1.0rc2/jquery.mobile-1.0rc2.min.css)
